subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.6898989898989899,0.7153268452590498,0.6898989898989899,0.6872752685244048
3.0,1409,0.7508871540099361,0.750844761895374,0.7508871540099361,0.7473043358939618
4.0,641,0.8221528861154446,0.9911076443057721,0.8221528861154446,0.8938382547659791
5.0,1178,0.7877758913412564,0.800394471531948,0.7877758913412564,0.7879031383241508
6.0,1488,0.7372311827956989,0.7455661134568181,0.7372311827956989,0.7280442500027485
7.0,1847,0.9458581483486735,0.9472861544252749,0.9458581483486735,0.9461888698165385
8.0,630,0.8984126984126984,0.9576805729041497,0.8984126984126984,0.9192283049956853
9.0,562,0.7188612099644128,0.9324185600875992,0.7188612099644128,0.7792997331709461
10.0,860,0.6034883720930233,0.8391692164882264,0.6034883720930233,0.647374068437096
11.0,1787,0.8869613878007835,0.8954757474205525,0.8869613878007835,0.8881906347710383
13.0,2186,0.8824336688014639,0.9148364453303588,0.8824336688014639,0.8865282645311325
14.0,68,0.8088235294117647,0.8679971988795517,0.8088235294117647,0.8072079536039769
15.0,933,0.4790996784565916,0.7491507610519742,0.4790996784565916,0.4581301508460189
16.0,661,0.7186081694402421,0.9751713090682567,0.7186081694402421,0.8126981306708992
17.0,644,0.827639751552795,0.8580810041407867,0.827639751552795,0.8310915589315774
