subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.9090909090909091,0.9094226818496817,0.9090909090909091,0.9091637098363887
3.0,1409,0.7508871540099361,0.749837047099658,0.7508871540099361,0.7499932285627097
4.0,641,1.0,1.0,1.0,1.0
5.0,1178,0.9286926994906621,0.932317813300746,0.9286926994906621,0.9281752589092143
6.0,1488,0.9012096774193549,0.9189648491991766,0.9012096774193549,0.9014881021598574
7.0,1847,0.916080129940444,0.9324418656124328,0.916080129940444,0.9177333306573604
8.0,630,0.861904761904762,0.9620238095238096,0.861904761904762,0.895740626874056
9.0,562,0.9608540925266904,0.970144560770697,0.9608540925266904,0.9634895854380923
10.0,860,0.9093023255813953,0.9397955092221332,0.9093023255813953,0.9158144990644814
11.0,1787,0.7246782316731953,0.7190014500902875,0.7246782316731953,0.7173493354288458
13.0,2186,0.8334858188472095,0.8924460931075361,0.8334858188472095,0.8400888661104876
14.0,68,0.4264705882352941,0.18187716262975778,0.4264705882352941,0.2550030321406913
15.0,933,0.5605573419078242,0.8191222151483509,0.5605573419078242,0.5537518945319867
16.0,661,0.02723146747352496,0.0007415528207616479,0.02723146747352496,0.001443789144398967
17.0,644,0.9363354037267081,0.9375331838829568,0.9363354037267081,0.9366460513501274
